Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0231_R_BA,840.44,-1.15,1.15,-2.3,2.3,-3.45,3.45
NRSTS0231_R_BA,599.69,-0.34,0.34,-0.68,0.68,-1.02,1.02
NRSTS0229_R_BA,2504.27,,,,,,
NRSTS0229_R_BA,836.46,-1.12,1.12,-2.24,2.24,-3.37,3.37
NRSTS0229_R_BA,642.19,-0.42,0.42,-0.84,0.84,-1.25,1.25
NRSTS0227_R_BA,2516.79,,,,,,
NRSTS0227_R_BA,828.1,-1.09,1.09,-2.18,2.18,-3.28,3.28
NRSTS0227_R_BA,661.34,-0.49,0.49,-0.98,0.98,-1.47,1.47
NRSTS0212_R_BA,2547.21,,,,,,
NRSTS0212_R_BA,653.46,-1.03,1.03,-2.06,2.06,-3.1,3.1
NRSTS0212_R_BA,938.76,-0.6,0.6,-1.2,1.2,-1.8,1.8
NRSTS0214_R_BA,2611.46,,,,,,
NRSTS0214_R_BA,712.11,-1.1,1.1,-2.2,2.2,-3.3,3.3
NRSTS0214_R_BA,808.36,-0.47,0.47,-0.94,0.94,-1.42,1.42
NRSTS0225_O_BA,2529.46,,,,,,
NRSTS0225_O_BA,810.29,-0.67,0.67,-1.34,1.34,-2,2
NRSTS0225_O_BA,680.8,-1,1,-2,2,-2.99,2.99
NRSTS0156_U_BA,2939.35,-0.51,0.51,-1.02,1.02,-1.54,1.54
NRSTS0156_U_BA,859.58,,,,,,
NRSTS0156_U_BA,377.1,-1.08,1.08,-2.16,2.16,-3.25,3.25
NRSTS0150_U_BA,3207.06,-0.52,0.52,-1.04,1.04,-1.55,1.55
NRSTS0150_U_BA,802.71,,,,,,
NRSTS0150_U_BA,501.65,-1.08,1.08,-2.16,2.16,-3.24,3.24
NRSTS0144_U_BA,3182.22,-0.74,0.74,-1.48,1.48,-2.22,2.22
NRSTS0144_U_BA,793.15,,,,,,
NRSTS0144_U_BA,562.04,-0.94,0.94,-1.88,1.88,-2.83,2.83
NRSTS0140_U_BA,3278.24,-0.63,0.63,-1.26,1.26,-1.9,1.9
NRSTS0140_U_BA,755.22,,,,,,
NRSTS0140_U_BA,626.28,-1.02,1.02,-2.04,2.04,-3.05,3.05
NLSTS0085_ORAA,2191,,,,,,
NLSTS0085_ORAA,-505.62,-0.31,0.31,-0.62,0.62,-0.93,0.93
NLSTS0085_ORAA,1104.49,-1.15,1.15,-2.3,2.3,-3.44,3.44
NLSTS0089_ORAA,2422.03,-0.32,0.32,-0.64,0.64,-0.96,0.96
NLSTS0089_ORAA,-517.01,,,,,,
NLSTS0089_ORAA,1060.65,-1.14,1.14,-2.28,2.28,-3.41,3.41
NLSTS0181_U_BA,735.15,-0.63,0.63,-1.26,1.26,-1.88,1.88
NLSTS0181_U_BA,-693.03,-0.48,0.48,-0.96,0.96,-1.43,1.43
NLSTS0181_U_BA,889.78,-0.9,0.9,-1.8,1.8,-2.71,2.71
NLSTS0189_U_BA,1398.36,,,,,,
NLSTS0189_U_BA,-598.78,-0.63,0.63,-1.26,1.26,-1.9,1.9
NLSTS0189_U_BA,1086.66,-1.01,1.01,-2.02,2.02,-3.05,3.05
NLSTS0202_U_BA,1624.33,,,,,,
NLSTS0202_U_BA,-592.84,-0.64,0.64,-1.28,1.28,-1.91,1.91
NLSTS0202_U_BA,1096.22,-1.02,1.02,-2.04,2.04,-3.05,3.05
NLSTS0204_U_BA,1743.6,,,,,,
NLSTS0204_U_BA,-591.55,-0.63,0.63,-1.26,1.26,-1.9,1.9
NLSTS0204_U_BA,1096.67,-1.02,1.02,-2.04,2.04,-3.06,3.06
NLSTS0206_U_BA,2052.55,,,,,,
NLSTS0206_U_BA,-596.78,-0.59,0.59,-1.18,1.18,-1.76,1.76
NLSTS0206_U_BA,1076.66,-1.03,1.03,-2.06,2.06,-3.1,3.1
NLSTS0099_R_BA,3052.59,,,,,,
NLSTS0099_R_BA,-603.94,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0099_R_BA,831.82,,,,,,
NLSTS0093_R_BA,2491.24,,,,,,
NLSTS0093_R_BA,-563.42,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0093_R_BA,1041.55,,,,,,
NLSTS0061_R_BA,937.54,,,,,,
NLSTS0061_R_BA,-606.4,-1.17,1.17,-2.34,2.34,-3.52,3.52
NLSTS0061_R_BA,1035.75,,,,,,
NLSTS0055_R_BA,439.67,,,,,,
NLSTS0055_R_BA,-713.02,-1.17,1.17,-2.34,2.34,-3.5,3.5
NLSTS0055_R_BA,757.7,,,,,,
NLSTS0240_V_BA,2134.28,-0.87,0.87,-1.74,1.74,-2.6,2.6
NLSTS0240_V_BA,-853.78,,,,,,
NLSTS0240_V_BA,85.19,-0.82,0.82,-1.64,1.64,-2.47,2.47
NLSTS0232_V_BA,2473.77,-1.02,1.02,-2.04,2.04,-3.05,3.05
NLSTS0232_V_BA,-837.22,,,,,,
NLSTS0232_V_BA,600.42,-0.63,0.63,-1.26,1.26,-1.88,1.88
