Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NRSTS0102_L_BA,X,3135.26,,,,,,
NRSTS0102_L_BA,Y,618.1,-1.03,1.03,-1.08,1.08,-2.66,3.86
NRSTS0102_L_BA,Z,801.33,,,,,,
NRDAA0009_ORAA,X,2421.29,,,,,,
NRDAA0009_ORAA,Y,553.02,,,,,,
NRDAA0009_ORAA,Z,1066.17,-1.08,1.08,-1.14,1.14,-3.41,3.41
NRSTS0001_R_HA,X,414,-1.14,1.14,-1.2,1.2,-3.6,3.6
NRSTS0001_R_HA,Y,787.5,-1.14,1.14,-1.2,1.2,-3.6,3.6
NRSTS0001_R_HA,Z,450,-1.14,1.14,-1.2,1.2,-3.6,3.6
NRSTS0236_V_BA,X,2262.43,-1,1,-2,2,-2.99,2.99
NRSTS0236_V_BA,Y,866.32,,,,,,
NRSTS0236_V_BA,Z,277.27,,,,,,
HRSTI0005,X,668.14,-0.38,0.38,-0.5,0.5,-1.5,1.5
HRSTI0005,Y,654.12,-0.38,0.38,-0.5,0.5,-1.5,1.5
HRSTI0005,Z,849.42,-0.38,0.38,-0.5,0.5,-1.5,1.5
NRSTS0022_R_AA,X,2190,,,,,,
NRSTS0022_R_AA,Y,744.95,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTS0022_R_AA,Z,-63,,,,,,
RPS1Hxy_CONSOLE2,X,-521.84,-0.1,0.1,-0.1,0.1,-0.3,0.3
RPS1Hxy_CONSOLE2,Y,667.93,-0.1,0.1,-0.1,0.1,-0.3,0.3
RPS1Hxy_CONSOLE2,Z,-40.02,-0.1,0.1,-0.1,0.1,-0.3,0.3
NRSTS0053_U_BA,X,475.09,-0.74,0.74,-1.48,1.48,-2.21,2.21
NRSTS0053_U_BA,Y,752.95,-0.46,0.46,-0.92,0.92,-1.38,1.38
NRSTS0053_U_BA,Z,721.97,-0.83,0.83,-1.66,1.66,-2.49,2.49
NLSTS0139_L_BA,X,3277.32,,,,,,
NLSTS0139_L_BA,Y,-757.23,-1.1,1.1,-2.2,2.2,-3.31,3.31
NLSTS0139_L_BA,Z,629.1,,,,,,
NLDAS0008KH_BA,X,1138.46,-1,1,-2,2,-2.99,2.99
NLDAS0008KH_BA,Y,-289.63,,,,,,
NLDAS0008KH_BA,Z,1121.78,,,,,,
NLSTS0099_R_BA,X,3052.59,,,,,,
NLSTS0099_R_BA,Y,-603.94,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0099_R_BA,Z,831.82,,,,,,
NRDAA0034_H_BA,X,2448.31,-1.06,1.06,-1.12,1.12,-3.35,3.35
NRDAA0034_H_BA,Y,530.22,,,,,,
NRDAA0034_H_BA,Z,1059.92,,,,,,
NLDAS0020KV_BA,X,1685.98,-1,1,-2,2,-3,3
NLDAS0020KV_BA,Y,0,,,,,,
NLDAS0020KV_BA,Z,1167.88,,,,,,
NLSTS0043_V_BA,X,425.63,-0.98,0.98,-1.96,1.96,-2.93,2.93
NLSTS0043_V_BA,Y,-721.15,,,,,,
NLSTS0043_V_BA,Z,748.1,,,,,,
NLDAS0004KH_BA,X,1131.33,-1,1,-2,2,-3,3
NLDAS0004KH_BA,Y,0,,,,,,
NLDAS0004KH_BA,Z,1127.22,,,,,,
NRSLA9061_H_LE,X,3401.97,-1,1,-2,2,-3,3
NRSLA9061_H_LE,Y,702.99,-1,1,-2,2,-3,3
NRSLA9061_H_LE,Z,470,-1,1,-2,2,-3,3
NRSTS0055_L_BA,X,439.67,,,,,,
NRSTS0055_L_BA,Y,713.02,-1.17,1.17,-2.34,2.34,-3.5,3.5
NRSTS0055_L_BA,Z,757.7,,,,,,
NLSTS0075_O_BA,X,1622.64,,,,,,
NLSTS0075_O_BA,Y,-557.2,,,,,,
NLSTS0075_O_BA,Z,1142.97,-1.12,1.12,-2.24,2.24,-3.37,3.37
MRESB1201_HDLE,X,462,-1.5,1.5,-3,3,-4.5,4.5
MRESB1201_HDLE,Y,664,-1.5,1.5,-3,3,-4.5,4.5
MRESB1201_HDLE,Z,568.75,-1.5,1.5,-3,3,-4.5,4.5
NRSTS0145_R_BA,X,3185.81,,,,,,
NRSTS0145_R_BA,Y,805.1,-1.18,1.18,-2.36,2.36,-3.53,3.53
NRSTS0145_R_BA,Z,523.24,,,,,,
NRSVO0001_L_CA,X,595.2,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0001_L_CA,Y,671.2,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSVO0001_L_CA,Z,809.35,-1.2,1.2,-2.4,2.4,-3.6,3.6
0093L-0093R,Y,1126.84,,,,,,
0093L-0093R,XRV,0,,,,,,
0093L-0093R,YRV,0,,,,,,
0093L-0093R,ZRV,0,,,,,,
0093L-0093R,XLV,0,,,,,,
0093L-0093R,YLV,0,,,,,,
0093L-0093R,ZLV,0,,,,,,
PP_R_5,X,3575.23,-0.5,0.5,-1,1,-1.5,1.5
PP_R_5,Y,135.66,,,,,,
PP_R_5,Z,281.93,,,,,,
