Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MRSWA1238_LVAA,Y,732.08,-1,0.5,-2,1,-3,1.5
MRSWA1238_LVAA,Z,115.44,,,,,,
MRBSI1203_LVBA,X,958,,,,,,
MRBSI1203_LVBA,Y,742.15,-1,0.5,-2,1,-3,1.5
MRBSI1203_LVBA,Z,-61.77,,,,,,
MRBSI1207_LVBA,X,619,,,,,,
MRBSI1207_LVBA,Y,732,-1,0.5,-2,1,-3,1.5
MRBSI1207_LVBA,Z,85.56,,,,,,
MRBTT1202_ODCA,X,738,-1.5,1.5,-3,3,-4.5,4.5
MRBTT1202_ODCA,Y,30,-1.5,1.5,-3,3,-4.5,4.5
MRBTT1202_ODCA,Z,151.4,-1,1,-2,2,-3,3
MRBTT1204_RDLE,X,578,-1,1,-2,2,-3,3
MRBTT1204_RDLE,Y,106.89,-1,1,-2,2,-3,3
MRBTT1204_RDLE,Z,114,-1,1,-2,2,-3,3
MRWLQ0001_HDCA,X,376,-1,1,-2,2,-3,3
MRWLQ0001_HDCA,Y,667,-1,1,-2,2,-3,3
MRWLQ0001_HDCA,Z,664,-1,1,-2,2,-3,3
MRWLQ0024_OFBA,X,299.19,-0.53,0.53,-1.06,1.06,-1.6,1.6
MRWLQ0024_OFBA,Y,610.09,,,,,,
MRWLQ0024_OFBA,Z,673.69,-0.83,0.83,-1.66,1.66,-2.48,2.48
MRWLQ0008_OFBA,X,198.78,,,0,0,-3,1
MRWLQ0008_OFBA,Y,279.88,,,,,,
MRWLQ0008_OFBA,Z,663.53,-0.84,0.84,-1.68,1.68,-2.53,2.53
MRWLQ0011OFAA,X,172.02,-0.53,0.53,-1.06,1.06,-2.6,2.5
MRWLQ0011OFAA,Y,283.46,,,,,,
MRWLQ0011OFAA,Z,646.23,-0.84,0.84,-1.68,1.68,-2.52,2.52
MRWLQ0028OFAA,X,274.27,-0.54,0.54,-1.08,1.08,-1.61,1.61
